size (cm),shape,weight (g),avg_price (₹),color,taste,fruit_name
7.8,round,317.2,85.4,green,sweet,custard apple
6.9,round,194.7,59.4,green,sour,guava
4.3,round,51.6,68.3,purple,tangy,plum
1,round,5.4,40.3,blue,sweet,blueberry
5.2,oval,50.9,20.7,orange,tangy,orange
18.2,round,1229.8,97.7,brown,sweet,coconut
6.7,round,233,119.3,red,sweet,pomegranate
18.5,oval,1407.2,77.8,orange,sweet,papaya
4.3,round,53.2,76.7,purple,tangy,plum
1.1,round,5.1,10.1,purple,sweet,grape
9.8,long,117.9,41.7,yellow,sweet,banana
14,oval,1252.4,83.4,brown,tangy,pineapple
4.8,oval,79.6,97,brown,tangy,kiwi
3.2,oval,18.3,64.8,red,sweet,strawberry
0.9,round,5,41.1,blue,sweet,blueberry
15.2,oval,1238.5,92.3,brown,tangy,pineapple
3.3,oval,19.1,64.9,red,sweet,strawberry
22.8,round,2767.6,155.8,green,sweet,watermelon
0.9,round,4.8,10.3,purple,sweet,grape
4.8,oval,68.6,98.1,brown,tangy,kiwi
10.1,long,113.1,41.2,yellow,sweet,banana
1.8,round,13.9,53.3,pink,sweet,lychee
24.7,round,3089.8,154.9,green,sweet,watermelon
5.4,oval,71.5,91.4,brown,tangy,kiwi
7.3,round,321.4,89.1,green,sweet,custard apple
1.1,round,4.8,39.7,blue,sweet,blueberry
4.7,oval,50.2,18.7,orange,tangy,orange
2.2,round,14.4,46.5,pink,sweet,lychee
10.8,oval,377.5,139.6,pink,sweet,dragon fruit
20.4,oval,1406.2,86.2,orange,sweet,papaya
2,round,14.1,54.1,pink,sweet,lychee
2.7,oval,10.5,32.2,red,sweet,cherry
1,round,5.4,37.9,blue,sweet,blueberry
10,long,119.7,38,yellow,sweet,banana
7.5,round,193.3,61.3,green,sour,guava
7.5,round,316.3,83.2,green,sweet,custard apple
15.9,oval,1305.7,91.3,brown,tangy,pineapple
21.7,oval,1465.9,85.4,orange,sweet,papaya
9.2,long,119.9,41.5,yellow,sweet,banana
3.8,round,48.6,66.7,purple,tangy,plum
3.1,oval,9.1,31.8,red,sweet,cherry
3,oval,10.9,29.2,red,sweet,cherry
7.6,round,252.4,126.1,red,sweet,pomegranate
0.9,round,5.2,9.5,purple,sweet,grape
1.1,round,5.1,39.3,blue,sweet,blueberry
3.9,round,53.7,72.7,purple,tangy,plum
7.2,round,229.6,117.1,red,sweet,pomegranate
0.9,round,4.9,10,purple,sweet,grape
7.4,round,328.1,88,green,sweet,custard apple
2,round,16.3,53.3,pink,sweet,lychee
3.1,oval,19,57.3,red,sweet,strawberry
5.3,oval,51,21.3,orange,tangy,orange
3.2,oval,20.4,62.3,red,sweet,strawberry
21.1,oval,1527.6,84.5,orange,sweet,papaya
6.2,round,142.9,77.6,red,sweet,apple
8,round,273,91.1,green,sweet,custard apple
4.1,round,54.9,66.7,purple,tangy,plum
9.7,long,108.4,41.8,yellow,sweet,banana
1,round,4.9,39.1,blue,sweet,blueberry
21.2,oval,1630,72.1,orange,sweet,papaya
25.9,round,3010.2,160,green,sweet,watermelon
10.2,oval,389.7,153.9,pink,sweet,dragon fruit
0.9,round,4.9,10.8,purple,sweet,grape
8.3,round,290.8,99,green,sweet,custard apple
6.1,round,145.6,76.8,red,sweet,apple
6.8,round,273.7,122.5,red,sweet,pomegranate
4.9,oval,79.9,98.8,brown,tangy,kiwi
9.3,oval,234,131.8,yellow,sweet,mango
20.6,oval,1539.4,82.1,orange,sweet,papaya
7.2,round,219.8,65.3,green,sour,guava
9.7,long,111.1,37.3,yellow,sweet,banana
5.1,oval,45.3,21.2,orange,tangy,orange
1,round,4.9,9.6,purple,sweet,grape
10.8,long,126.6,41.7,yellow,sweet,banana
7.8,oval,191.5,63.1,green,sweet,pear
7.3,round,193.6,59.2,green,sour,guava
19.2,round,1117.7,106.5,brown,sweet,coconut
8.2,oval,244.5,117.2,yellow,sweet,mango
19.7,oval,1480.3,76.8,orange,sweet,papaya
1.1,round,5.4,36.3,blue,sweet,blueberry
6.4,round,249.9,110.8,red,sweet,pomegranate
7.8,oval,175,65.8,green,sweet,pear
7.8,round,292.7,82.3,green,sweet,custard apple
3.2,oval,10.3,27.6,red,sweet,cherry
9.3,oval,389.4,157.9,pink,sweet,dragon fruit
1,round,4.8,41.4,blue,sweet,blueberry
8.6,oval,264.1,115.6,yellow,sweet,mango
23.1,round,2823.8,162.7,green,sweet,watermelon
9,oval,426.4,135.6,pink,sweet,dragon fruit
24.2,round,3048.7,152.6,green,sweet,watermelon
7.4,round,310.3,95.4,green,sweet,custard apple
5.5,oval,50.7,19.4,orange,tangy,orange
7.3,oval,165.8,63.6,green,sweet,pear
3.7,round,46.4,69.7,purple,tangy,plum
1.9,round,16.5,53.4,pink,sweet,lychee
27.3,round,3188,140.7,green,sweet,watermelon
5.9,round,159.5,82.4,red,sweet,apple
14.2,oval,1169.4,89.7,brown,tangy,pineapple
7.5,oval,195.1,65.6,green,sweet,pear
2,round,15.8,49.1,pink,sweet,lychee
7.5,round,206.7,60.6,green,sour,guava
8.8,round,325.4,82.2,green,sweet,custard apple
25.7,round,3236.7,139.6,green,sweet,watermelon
7.7,round,198.6,62,green,sour,guava
26.2,round,2727.5,164.6,green,sweet,watermelon
10.7,long,130.6,38.1,yellow,sweet,banana
5,oval,53.6,19,orange,tangy,orange
0.9,round,4.7,39,blue,sweet,blueberry
6.4,round,154,72.5,red,sweet,apple
2.7,oval,9.8,29.2,red,sweet,cherry
20.4,oval,1517.3,84.1,orange,sweet,papaya
24,round,2938.4,153.5,green,sweet,watermelon
6.9,round,230.9,118.4,red,sweet,pomegranate
9.6,oval,424.4,154.9,pink,sweet,dragon fruit
7.6,oval,168.2,63.7,green,sweet,pear
21.2,oval,1445.6,73.1,orange,sweet,papaya
2.7,oval,19.9,60.6,red,sweet,strawberry
1,round,4.9,42.3,blue,sweet,blueberry
8.2,oval,272.5,129.1,yellow,sweet,mango
5.5,round,157.1,79.5,red,sweet,apple
5.5,round,155.6,76,red,sweet,apple
7.1,round,212.8,60,green,sour,guava
8.2,round,287.8,82.9,green,sweet,custard apple
16.2,oval,1232.1,92.3,brown,tangy,pineapple
11,long,121.1,40.7,yellow,sweet,banana
7.8,oval,166.7,66.1,green,sweet,pear
2.9,oval,9.5,29.7,red,sweet,cherry
4.7,oval,80.1,107.3,brown,tangy,kiwi
2.9,oval,20.3,63.6,red,sweet,strawberry
3.3,oval,9.3,32,red,sweet,cherry
21.3,oval,1603.6,80.8,orange,sweet,papaya
9.7,oval,384.4,140.7,pink,sweet,dragon fruit
1.9,round,15.6,49.7,pink,sweet,lychee
1,round,5.5,10.2,purple,sweet,grape
2.9,oval,20,64.9,red,sweet,strawberry
1.9,round,14.4,46.8,pink,sweet,lychee
7,round,248.2,117.5,red,sweet,pomegranate
9.2,oval,370.5,157.6,pink,sweet,dragon fruit
10.4,long,116.2,38.2,yellow,sweet,banana
5.4,oval,49.5,21.5,orange,tangy,orange
8.6,oval,197,70.6,green,sweet,pear
10.3,oval,378.6,146.4,pink,sweet,dragon fruit
6.6,round,226.4,130.4,red,sweet,pomegranate
10.9,oval,388.4,161.9,pink,sweet,dragon fruit
6.7,round,270.9,111.4,red,sweet,pomegranate
4.7,oval,82.3,101.4,brown,tangy,kiwi
4.8,oval,78.7,109.8,brown,tangy,kiwi
7.5,round,308.4,97.2,green,sweet,custard apple
8.5,round,312.7,89.8,green,sweet,custard apple
23.8,round,3122.9,140.6,green,sweet,watermelon
9.9,oval,367.6,157.1,pink,sweet,dragon fruit
7.2,round,204.5,62.2,green,sour,guava
5.8,round,159.4,80.9,red,sweet,apple
9.6,long,121.8,42.6,yellow,sweet,banana
20.4,oval,1547.9,82.2,orange,sweet,papaya
7.7,round,290.5,88.1,green,sweet,custard apple
7.3,round,288.1,85.6,green,sweet,custard apple
5.2,oval,53.1,18.8,orange,tangy,orange
4.6,oval,47.2,18.3,orange,tangy,orange
10.8,oval,373,153.6,pink,sweet,dragon fruit
1.1,round,4.8,10.2,purple,sweet,grape
7.3,oval,187.2,65.5,green,sweet,pear
3.9,round,53.6,63.3,purple,tangy,plum
18.7,round,1187.4,106.7,brown,sweet,coconut
8,oval,184.9,65.6,green,sweet,pear
1,round,5.2,38.7,blue,sweet,blueberry
8.9,oval,242.4,111.1,yellow,sweet,mango
2.7,oval,9.3,27.5,red,sweet,cherry
3.9,round,51.8,71.1,purple,tangy,plum
5.7,round,142.1,76.2,red,sweet,apple
3.8,round,53.4,69.2,purple,tangy,plum
9.7,long,124.3,39.9,yellow,sweet,banana
15.2,oval,1175.8,82.6,brown,tangy,pineapple
2,round,15.1,50,pink,sweet,lychee
2.9,oval,21.5,66,red,sweet,strawberry
7.1,round,247.8,110,red,sweet,pomegranate
9.6,oval,414.8,157.6,pink,sweet,dragon fruit
7.6,round,211.9,59.5,green,sour,guava
6.5,round,135.2,81.8,red,sweet,apple
3.1,oval,22,56.2,red,sweet,strawberry
7.4,oval,192.1,69.3,green,sweet,pear
10.9,oval,426.2,136.4,pink,sweet,dragon fruit
26,round,3296.1,138.2,green,sweet,watermelon
7.2,round,219.8,57.4,green,sour,guava
3.1,oval,9.5,29.5,red,sweet,cherry
9.3,oval,226.9,119.2,yellow,sweet,mango
7.2,round,298.1,88,green,sweet,custard apple
19.8,round,1291.7,109.9,brown,sweet,coconut
1.1,round,4.9,36.5,blue,sweet,blueberry
18,round,1184.6,108.2,brown,sweet,coconut
1,round,5.3,10.3,purple,sweet,grape
1.1,round,5.5,37,blue,sweet,blueberry
6.5,round,254.1,109.9,red,sweet,pomegranate
5,oval,75,98.7,brown,tangy,kiwi
3.2,oval,19.9,64,red,sweet,strawberry
2.2,round,14.4,46.5,pink,sweet,lychee
7,round,183.5,55.2,green,sour,guava
1.1,round,5.1,10.3,purple,sweet,grape
0.9,round,5.5,40.4,blue,sweet,blueberry
1,round,5,36.7,blue,sweet,blueberry
14.8,oval,1192.8,96.9,brown,tangy,pineapple
8,round,270.3,96.1,green,sweet,custard apple
16.8,round,1282.8,101.7,brown,sweet,coconut
21.1,oval,1491.6,82.7,orange,sweet,papaya
5.4,oval,80.9,95,brown,tangy,kiwi
8.5,oval,225,131.3,yellow,sweet,mango
21.2,oval,1386.4,87.8,orange,sweet,papaya
16.6,round,1114.6,95.7,brown,sweet,coconut
8.8,oval,246.1,124.3,yellow,sweet,mango
2.8,oval,9.6,31.8,red,sweet,cherry
8.5,round,306,90.2,green,sweet,custard apple
3.2,oval,20.2,64.8,red,sweet,strawberry
4.9,oval,79.7,108.7,brown,tangy,kiwi
7.3,round,206,55.3,green,sour,guava
15.5,oval,1094.9,82.9,brown,tangy,pineapple
1.9,round,14.4,51.6,pink,sweet,lychee
4.1,round,46.7,67.7,purple,tangy,plum
6.3,round,142.3,85.9,red,sweet,apple
2.9,oval,9.5,27.3,red,sweet,cherry
6.6,round,162.5,82.1,red,sweet,apple
0.9,round,5.5,9.2,purple,sweet,grape
19.3,oval,1636.8,82.7,orange,sweet,papaya
3.1,oval,10.7,31.3,red,sweet,cherry
15.3,oval,1267.4,91.7,brown,tangy,pineapple
2.8,oval,10.1,28.1,red,sweet,cherry
6.1,round,164.3,75.2,red,sweet,apple
10.2,oval,403.6,139.6,pink,sweet,dragon fruit
1.8,round,15,50.6,pink,sweet,lychee
8.5,oval,227.4,115.1,yellow,sweet,mango
2.1,round,14.7,52.6,pink,sweet,lychee
16.5,round,1193.6,109.9,brown,sweet,coconut
0.9,round,4.9,42.7,blue,sweet,blueberry
8.1,oval,176.5,63.7,green,sweet,pear
5.6,round,159.9,72,red,sweet,apple
3.1,oval,10.4,30.5,red,sweet,cherry
20.7,oval,1377.5,77.6,orange,sweet,papaya
6.4,round,161.6,77.8,red,sweet,apple
9.7,long,126,41.5,yellow,sweet,banana
25.6,round,3153,152.9,green,sweet,watermelon
1,round,5.2,39.3,blue,sweet,blueberry
2.1,round,13.8,49.3,pink,sweet,lychee
14.3,oval,1292.6,88.3,brown,tangy,pineapple
3,oval,18.3,57.6,red,sweet,strawberry
8.7,round,280.7,88.9,green,sweet,custard apple
0.9,round,5.5,10.9,purple,sweet,grape
1.1,round,4.8,43,blue,sweet,blueberry
6.6,round,209,64,green,sour,guava
9.3,long,120,43.2,yellow,sweet,banana
14.5,oval,1265.8,82.9,brown,tangy,pineapple
10,long,131.7,42.6,yellow,sweet,banana
5.7,round,144.6,85.5,red,sweet,apple
1,round,5.4,42.4,blue,sweet,blueberry
5,oval,46.6,21.3,orange,tangy,orange
6.7,round,194.5,55.8,green,sour,guava
7.9,round,286.6,83.5,green,sweet,custard apple
10.3,oval,411.8,160.5,pink,sweet,dragon fruit
8.6,oval,162.7,74,green,sweet,pear
3.3,oval,21.9,56.5,red,sweet,strawberry
3.8,round,50.2,73,purple,tangy,plum
2.1,round,15.5,48.1,pink,sweet,lychee
19.8,oval,1556.4,81.9,orange,sweet,papaya
10.6,long,129.4,38.6,yellow,sweet,banana
14.5,oval,1141.6,88.3,brown,tangy,pineapple
15.6,oval,1135,89.3,brown,tangy,pineapple
9.4,long,123.6,38.6,yellow,sweet,banana
1,round,5.4,39.9,blue,sweet,blueberry
4.9,oval,80.7,101.4,brown,tangy,kiwi
8.1,oval,177.2,70.8,green,sweet,pear
7.6,oval,163.2,72.5,green,sweet,pear
21.3,oval,1541.3,85.6,orange,sweet,papaya
16.8,round,1274.9,103,brown,sweet,coconut
9,oval,233.2,114.4,yellow,sweet,mango
1,round,4.7,37.8,blue,sweet,blueberry
8.2,oval,269.7,119.8,yellow,sweet,mango
6.6,round,142.2,79.5,red,sweet,apple
2,round,16.3,45.3,pink,sweet,lychee
26.7,round,2766,148.6,green,sweet,watermelon
2.7,oval,18.2,64.5,red,sweet,strawberry
8.6,round,280.9,83.5,green,sweet,custard apple
3.1,oval,10,31.6,red,sweet,cherry
16.9,round,1178.7,97.4,brown,sweet,coconut
4.8,oval,54.1,18.9,orange,tangy,orange
21.4,oval,1495.9,72.5,orange,sweet,papaya
7,round,256.4,115,red,sweet,pomegranate
8.6,round,312.1,93.4,green,sweet,custard apple
7.7,round,302.4,95.2,green,sweet,custard apple
1,round,5.3,38.7,blue,sweet,blueberry
5.4,round,164.2,83.5,red,sweet,apple
19.1,oval,1419.9,74.6,orange,sweet,papaya
5.9,round,153.4,87.3,red,sweet,apple
20.8,oval,1369.9,74.6,orange,sweet,papaya
4,round,48.8,63.8,purple,tangy,plum
6,round,161,79.4,red,sweet,apple
15.9,oval,1115.8,92.1,brown,tangy,pineapple
2.2,round,14.2,54.7,pink,sweet,lychee
6.5,round,139,82.5,red,sweet,apple
3.7,round,52.3,67.6,purple,tangy,plum
3.9,round,45.9,69.6,purple,tangy,plum
15.1,oval,1270.4,82.4,brown,tangy,pineapple
10,oval,361.9,157.2,pink,sweet,dragon fruit
7.3,round,194,54.2,green,sour,guava
4.6,oval,81.8,98.9,brown,tangy,kiwi
7.3,round,219.7,63.7,green,sour,guava
7.6,round,231.2,124,red,sweet,pomegranate
10.3,long,118,37.1,yellow,sweet,banana
2.8,oval,19.2,56,red,sweet,strawberry
7.9,round,316,89.2,green,sweet,custard apple
7.7,oval,197.2,70.4,green,sweet,pear
7.4,oval,194.2,64.2,green,sweet,pear
19,round,1094.8,105.3,brown,sweet,coconut
3.9,round,52.1,74.9,purple,tangy,plum
20.4,oval,1453,82.5,orange,sweet,papaya
9.1,oval,262.5,126.8,yellow,sweet,mango
7.6,round,260,129.7,red,sweet,pomegranate
7.5,round,263.8,117.8,red,sweet,pomegranate
1.9,round,15.9,53.9,pink,sweet,lychee
9.7,oval,380,141.7,pink,sweet,dragon fruit
9.1,long,109.5,39,yellow,sweet,banana
9.2,oval,230.5,108.7,yellow,sweet,mango
7.7,round,252.6,116.9,red,sweet,pomegranate
5,oval,47.9,19,orange,tangy,orange
6.9,round,195.8,58.5,green,sour,guava
8.4,oval,166,72.8,green,sweet,pear
10.2,long,109.7,43.5,yellow,sweet,banana
1.1,round,4.8,9.4,purple,sweet,grape
5.9,round,143.4,80.6,red,sweet,apple
2.2,round,16.4,53.4,pink,sweet,lychee
0.9,round,4.7,10.1,purple,sweet,grape
6.4,round,138.2,73.4,red,sweet,apple
7.6,round,195.3,55.5,green,sour,guava
3.2,oval,10.3,31.6,red,sweet,cherry
3.7,round,52,67.3,purple,tangy,plum
2.8,oval,10.1,29.1,red,sweet,cherry
23.6,round,2768.1,152.1,green,sweet,watermelon
14.2,oval,1240.6,88.9,brown,tangy,pineapple
9.5,long,109.1,38.4,yellow,sweet,banana
8.6,round,272.8,84.6,green,sweet,custard apple
15.8,oval,1301.2,81.2,brown,tangy,pineapple
4.4,round,46.9,64.4,purple,tangy,plum
9.2,oval,361.9,156.7,pink,sweet,dragon fruit
20,oval,1500,74.4,orange,sweet,papaya
16.5,oval,1209.2,82.6,brown,tangy,pineapple
2.1,round,15.9,53.4,pink,sweet,lychee
6.5,round,259.4,121,red,sweet,pomegranate
10.5,oval,413.3,142.3,pink,sweet,dragon fruit
7.5,round,212.1,59.5,green,sour,guava
7.5,round,235.6,113.5,red,sweet,pomegranate
14,oval,1231.5,92.4,brown,tangy,pineapple
9.8,long,122.9,42.5,yellow,sweet,banana
7.9,oval,182.2,65.2,green,sweet,pear
10,long,114.7,43.5,yellow,sweet,banana
9.3,long,131.5,37.9,yellow,sweet,banana
7.2,round,246.6,117.5,red,sweet,pomegranate
5.5,round,155.3,84.5,red,sweet,apple
7.3,round,203,65.1,green,sour,guava
10.9,oval,396.3,156.9,pink,sweet,dragon fruit
8.5,oval,186,76.9,green,sweet,pear
1,round,5,9.1,purple,sweet,grape
6.7,round,207.8,59.4,green,sour,guava
6.8,round,188.8,62.6,green,sour,guava
1.1,round,5.4,10.4,purple,sweet,grape
3.2,oval,9.6,30.1,red,sweet,cherry
10.8,long,117.8,38.4,yellow,sweet,banana
15.3,oval,1219.2,81.4,brown,tangy,pineapple
9.8,oval,434.9,139.9,pink,sweet,dragon fruit
2.7,oval,10.2,27.8,red,sweet,cherry
9.5,oval,232.9,114,yellow,sweet,mango
6,round,150.3,84.3,red,sweet,apple
5.2,oval,46.2,19.8,orange,tangy,orange
5.6,round,152.7,72.1,red,sweet,apple
8.2,oval,248.8,131.7,yellow,sweet,mango
7.5,round,231.3,114.7,red,sweet,pomegranate
15.6,oval,1217.1,87.9,brown,tangy,pineapple
10.8,long,121.5,37.4,yellow,sweet,banana
4.9,oval,52.8,18.9,orange,tangy,orange
9.7,oval,374.2,154.5,pink,sweet,dragon fruit
20.3,oval,1535.7,87.4,orange,sweet,papaya
3.2,oval,9.3,30.4,red,sweet,cherry
0.9,round,5,37.7,blue,sweet,blueberry
8.5,oval,187.4,65.2,green,sweet,pear
14.1,oval,1279.8,83.1,brown,tangy,pineapple
14.7,oval,1222.7,92,brown,tangy,pineapple
8.3,round,279.7,90.7,green,sweet,custard apple
24.6,round,2966,159.7,green,sweet,watermelon
1.1,round,4.6,10.2,purple,sweet,grape
26.3,round,2850.4,147.1,green,sweet,watermelon
7.5,oval,190.5,66,green,sweet,pear
4.6,oval,75.1,103.4,brown,tangy,kiwi
3.9,round,53.3,69.7,purple,tangy,plum
0.9,round,5.1,9.9,purple,sweet,grape
0.9,round,5.1,43.7,blue,sweet,blueberry
1.1,round,4.9,41.8,blue,sweet,blueberry
10.7,oval,421.1,142.9,pink,sweet,dragon fruit
3.2,oval,10.9,33,red,sweet,cherry
1.8,round,14.8,50.6,pink,sweet,lychee
2.1,round,15.5,50.2,pink,sweet,lychee
2,round,16.3,48.7,pink,sweet,lychee
21.2,oval,1608.4,85,orange,sweet,papaya
19.2,round,1189.2,93,brown,sweet,coconut
3.2,oval,18.5,62.9,red,sweet,strawberry
1.1,round,5.2,9.3,purple,sweet,grape
1,round,5.2,10.8,purple,sweet,grape
1,round,5.1,36.5,blue,sweet,blueberry
18.1,oval,1521.7,78.2,orange,sweet,papaya
1.1,round,5.1,9.6,purple,sweet,grape
0.9,round,4.7,39.9,blue,sweet,blueberry
4.1,round,52.8,73.5,purple,tangy,plum
2.1,round,14.6,50,pink,sweet,lychee
4.8,oval,52.7,19.8,orange,tangy,orange
4.6,oval,53,21.8,orange,tangy,orange
4.9,oval,49.4,19.5,orange,tangy,orange
7.9,oval,176.4,67.7,green,sweet,pear
8.4,oval,248.1,115.8,yellow,sweet,mango
7.7,round,230.8,110.2,red,sweet,pomegranate
18.3,oval,1512.8,74.7,orange,sweet,papaya
8.2,round,327.3,92.1,green,sweet,custard apple
8.2,round,307.1,98.6,green,sweet,custard apple
18.3,round,1230.1,101.5,brown,sweet,coconut
7.8,round,274.7,83.7,green,sweet,custard apple
1,round,5.2,9.2,purple,sweet,grape
1.9,round,13.7,47.5,pink,sweet,lychee
4.3,round,54,68.6,purple,tangy,plum
3.9,round,47.6,70.2,purple,tangy,plum
5.4,round,140.8,86,red,sweet,apple
5.6,round,147.2,83.8,red,sweet,apple
6.6,round,207.9,58.2,green,sour,guava
10.4,long,113.4,41.2,yellow,sweet,banana
7.1,round,187.8,56.9,green,sour,guava
7.9,round,276.3,81.3,green,sweet,custard apple
8.1,oval,258.1,120.5,yellow,sweet,mango
0.9,round,5.2,41.9,blue,sweet,blueberry
5,oval,46.5,18.8,orange,tangy,orange
2.2,round,14.2,54.4,pink,sweet,lychee
10.3,oval,435,157,pink,sweet,dragon fruit
6.4,round,228.1,118,red,sweet,pomegranate
5.4,round,148.7,82.1,red,sweet,apple
7.5,round,258.4,119.8,red,sweet,pomegranate
10.2,oval,406.7,140.8,pink,sweet,dragon fruit
19.6,oval,1552,87.9,orange,sweet,papaya
4,round,45.4,66.7,purple,tangy,plum
4.5,oval,49.6,19.8,orange,tangy,orange
1.1,round,5.5,37.1,blue,sweet,blueberry
6.8,round,217.5,65.2,green,sour,guava
19,round,1120.5,109.4,brown,sweet,coconut
2,round,14.7,51.8,pink,sweet,lychee
3.3,oval,19.1,65.4,red,sweet,strawberry
7.1,round,241.7,126.7,red,sweet,pomegranate
16.9,round,1204.1,92.9,brown,sweet,coconut
10.8,long,125.9,36.9,yellow,sweet,banana
6.4,round,146,74.3,red,sweet,apple
7.1,round,217.8,60.1,green,sour,guava
1,round,4.7,42.2,blue,sweet,blueberry
2,round,13.6,50.9,pink,sweet,lychee
19.3,round,1264.3,102.8,brown,sweet,coconut
6.6,round,202.2,57,green,sour,guava
6.4,round,192.8,58.5,green,sour,guava
6.8,round,216.9,60.3,green,sour,guava
10,oval,389.6,148.9,pink,sweet,dragon fruit
5,oval,80.1,103.2,brown,tangy,kiwi
9,oval,262.1,113.9,yellow,sweet,mango
8.8,oval,188.2,74.3,green,sweet,pear
10.8,long,117.5,43.4,yellow,sweet,banana
20.4,oval,1559.2,82.1,orange,sweet,papaya
4.8,oval,47.5,20.4,orange,tangy,orange
10.5,oval,426.3,156.5,pink,sweet,dragon fruit
9.3,long,113.5,40.9,yellow,sweet,banana
7.4,round,190.2,54.8,green,sour,guava
17.7,round,1183.7,95.8,brown,sweet,coconut
16.7,round,1177.3,97.4,brown,sweet,coconut
5.7,round,147.6,76,red,sweet,apple
9.8,long,118.7,37,yellow,sweet,banana
5.4,round,143.5,74.2,red,sweet,apple
18,oval,1412.6,74.4,orange,sweet,papaya
4.8,oval,47.6,19.3,orange,tangy,orange
6.8,round,237.3,116.8,red,sweet,pomegranate
9.1,long,112.7,41.3,yellow,sweet,banana
1,round,5.4,9.4,purple,sweet,grape
16.3,round,1200.7,106.7,brown,sweet,coconut
19.3,round,1178.6,107.3,brown,sweet,coconut
5.4,round,145.4,79.2,red,sweet,apple
7.9,oval,181.2,73.2,green,sweet,pear
7.4,oval,180.4,71.3,green,sweet,pear
2.1,round,16.1,45.4,pink,sweet,lychee
2.8,oval,21.1,62.6,red,sweet,strawberry
10.3,oval,411.1,146.7,pink,sweet,dragon fruit
19.4,round,1178.1,108.6,brown,sweet,coconut
24.4,round,3071.1,158.1,green,sweet,watermelon
9.2,oval,258.6,117.6,yellow,sweet,mango
3.1,oval,10.5,27.5,red,sweet,cherry
21.4,oval,1495.9,80.9,orange,sweet,papaya
7.5,round,271,116.4,red,sweet,pomegranate
8.2,oval,257.1,116.8,yellow,sweet,mango
19.4,oval,1351,84.7,orange,sweet,papaya
6.5,round,257.4,123.3,red,sweet,pomegranate
0.9,round,5.2,41.7,blue,sweet,blueberry
7.6,round,229.6,128.5,red,sweet,pomegranate
5.1,oval,81.6,108.2,brown,tangy,kiwi
1,round,4.8,11,purple,sweet,grape
20.7,oval,1364.6,80.2,orange,sweet,papaya
4.6,oval,77.2,90.4,brown,tangy,kiwi
9.4,long,108.4,42.4,yellow,sweet,banana
1,round,4.8,42.2,blue,sweet,blueberry
3.3,oval,18.3,54.3,red,sweet,strawberry
4.8,oval,71.1,104.4,brown,tangy,kiwi
21.5,oval,1359.2,80,orange,sweet,papaya
1.1,round,4.8,42.7,blue,sweet,blueberry
11,long,121.6,43.6,yellow,sweet,banana
7.7,round,207,56.3,green,sour,guava
18,round,1134.7,109.6,brown,sweet,coconut
8.6,round,291.1,82.6,green,sweet,custard apple
1.1,round,5.2,9.8,purple,sweet,grape
2,round,15,47.6,pink,sweet,lychee
9.6,oval,272.2,126.7,yellow,sweet,mango
16.5,oval,1277.9,91.3,brown,tangy,pineapple
1,round,5.3,10.3,purple,sweet,grape
0.9,round,4.8,40.9,blue,sweet,blueberry
6.3,round,137.6,80.9,red,sweet,apple
7,round,192,63.2,green,sour,guava
5.1,oval,73.2,101.1,brown,tangy,kiwi
6.1,round,156.3,82.2,red,sweet,apple
6.6,round,163.3,81.2,red,sweet,apple
6.5,round,271.2,117.5,red,sweet,pomegranate
7.5,round,247.1,128.9,red,sweet,pomegranate
1,round,4.7,9.5,purple,sweet,grape
9.3,long,109.1,40.7,yellow,sweet,banana
3,oval,9.3,30.2,red,sweet,cherry
5.3,oval,79.9,99.4,brown,tangy,kiwi
26.4,round,2753.9,147.4,green,sweet,watermelon
2,round,15.6,53.2,pink,sweet,lychee
6.6,round,197.8,60.6,green,sour,guava
14.3,oval,1126.4,87.4,brown,tangy,pineapple
3.7,round,53.2,74,purple,tangy,plum
8.9,oval,249,127.9,yellow,sweet,mango
20.8,oval,1391.7,79.8,orange,sweet,papaya
9.6,oval,434.8,153.5,pink,sweet,dragon fruit
6.9,round,265.8,125.7,red,sweet,pomegranate
1,round,4.7,9.5,purple,sweet,grape
23.9,round,2986.6,158.6,green,sweet,watermelon
5.8,round,137.2,84.4,red,sweet,apple
3.1,oval,10.6,31.9,red,sweet,cherry
26.1,round,3088.7,149.8,green,sweet,watermelon
0.9,round,5.1,40.1,blue,sweet,blueberry
17.3,round,1131.3,103.1,brown,sweet,coconut
3.1,oval,19.2,63.3,red,sweet,strawberry
5,oval,50.1,20.6,orange,tangy,orange
1,round,5.1,10.2,purple,sweet,grape
2.9,oval,9.8,27.2,red,sweet,cherry
5.2,oval,82.4,99.8,brown,tangy,kiwi
3.6,round,51.7,64.7,purple,tangy,plum
8.2,oval,186.9,68.2,green,sweet,pear
0.9,round,5.3,9.2,purple,sweet,grape
11,oval,400.4,139.2,pink,sweet,dragon fruit
7.5,oval,168.3,75,green,sweet,pear
6.1,round,142.1,73.3,red,sweet,apple
24.4,round,3005.5,161.1,green,sweet,watermelon
9.8,oval,262.6,124.1,yellow,sweet,mango
10.3,oval,415.6,151.9,pink,sweet,dragon fruit
8.1,round,311,85.1,green,sweet,custard apple
5.9,round,143.9,85.8,red,sweet,apple
18.8,round,1318.5,99.4,brown,sweet,coconut
4.9,oval,68.1,106.2,brown,tangy,kiwi
10.6,long,108.7,36.4,yellow,sweet,banana
15.1,oval,1296.3,83.5,brown,tangy,pineapple
7.6,round,242.5,109,red,sweet,pomegranate
